('2024-01-03', '06:36:07', '09:36:07', 'ZXC234FGHI', 10, 8),
('2024-01-03', '13:53:07', '21:53:07', 'DEF456WXYZ', 3, 9),
('2024-01-03', '05:39:31', '12:09:31', 'VBN567JKLM', 4, 10),
('2024-01-03', '12:45:42', '17:15:42', 'JKL123MNBV', 11, 5),
('2024-01-03', '13:37:34', '21:37:34', 'WXY678MNOP', 2, 8),
('2024-01-04', '12:17:22', '15:17:22', 'QWE901BCDE', 13, 6),
('2024-01-04', '06:11:24', '09:11:24', 'DEF456WXYZ', 14, 9),
('2024-01-04', '10:39:41', '15:39:41', 'GHI789UVWX', 15, 9),
('2024-01-04', '05:39:31', '09:09:31', 'PQR345STUV', 2, 5),
('2024-01-04', '09:42:31', '12:12:31', 'DEF456WXYZ', 12, 5),
('2024-01-04', '13:58:45', '17:58:45', 'QWE012CVBN', 8, 3),
('2024-01-05', '13:37:34', '19:07:34', 'VBN567JKLM', 9, 8),
('2024-01-05', '08:29:58', '13:59:58', 'QWE901BCDE', 3, 2),
('2024-01-05', '07:51:14', '13:51:14', 'BNM456UIOP', 1, 10),
('2024-01-06', '10:40:10', '16:40:10', 'QWE012CVBN', 4, 4),
('2024-01-06', '12:39:56', '17:09:56', 'ZXC234FGHI', 4, 5),
('2024-01-06', '13:58:45', '19:58:45', 'UIO234GFDS', 13, 3),
('2024-01-06', '07:59:32', '10:59:32', 'UIO234GFDS', 6, 10),
('2024-01-06', '06:31:49', '14:01:49', 'QWE901BCDE', 3, 9),
('2024-01-08', '10:31:56', '13:31:56', 'VBN567JKLM', 7, 4),
('2024-01-08', '12:39:56', '20:09:56', 'GHI789UVWX', 1, 10),
('2024-01-08', '05:34:04', '12:34:04', 'FGH890PLOI', 14, 2),
('2024-01-09', '13:58:45', '18:58:45', 'QWE678FGRT', 10, 4),
('2024-01-10', '13:53:27', '17:53:27', 'WXY678MNOP', 8, 9),
('2024-01-10', '05:51:50', '12:21:50', 'JKL012LMNO', 3, 6),
('2024-01-10', '10:14:22', '16:14:22', 'BNM456UIOP', 6, 10),
('2024-01-10', '10:06:21', '14:06:21', 'BNM456UIOP', 5, 8),
('2024-01-11', '06:36:07', '12:36:07', 'JKL012LMNO', 14, 10),
('2024-01-11', '11:17:44', '16:47:44', 'UIO012MKLP', 4, 6),
('2024-01-11', '11:20:44', '17:20:44', 'JKL123MNBV', 4, 9),
('2024-01-12', '11:08:44', '14:08:44', 'ASD123NBVC', 2, 2),
('2024-01-12', '12:01:56', '18:31:56', 'VBN789XCVB', 12, 9),
('2024-01-12', '09:54:32', '17:24:32', 'QWE901BCDE', 1, 6),
('2024-01-12', '13:44:42', '15:44:42', 'RTY890QRST', 3, 10),
('2024-01-12', '11:57:43', '19:27:43', 'QWE678FGRT', 9, 4),
('2024-01-13', '13:52:36', '16:22:36', 'FGH890PLOI', 12, 5),
('2024-01-13', '07:46:11', '11:46:11', 'DEF456WXYZ', 15, 9),
('2024-01-13', '11:27:44', '15:57:44', 'VBN789XCVB', 10, 10),
('2024-01-13', '13:52:36', '19:52:36', 'BNM456UIOP', 10, 4),
('2024-01-13', '06:32:03', '13:32:03', 'WXY678MNOP', 13, 6),
('2024-01-14', '10:06:21', '18:06:21', 'JKL012LMNO', 11, 8),
('2024-01-14', '09:40:47', '16:40:47', 'DEF456WXYZ', 2, 4),
('2024-01-14', '05:36:54', '08:06:54', 'BNM456UIOP', 11, 9),
('2024-01-16', '12:01:56', '18:01:56', 'QWE901BCDE', 11, 5),
('2024-01-16', '10:39:41', '17:39:41', 'ZXC234FGHI', 5, 10),
('2024-01-16', '06:09:55', '10:39:55', 'QWE901BCDE', 11, 9),
('2024-01-16', '12:52:35', '18:22:35', 'BNM456UIOP', 1, 8),
('2024-01-20', '11:43:17', '15:43:17', 'ASD123NBVC', 6, 4),
('2024-01-20', '10:01:52', '12:01:52', 'FGH890PLOI', 9, 10),
('2024-01-20', '05:03:33', '12:03:33', 'JKL123MNBV', 11, 7),
('2024-01-21', '11:17:44', '18:17:44', 'GHI789UVWX', 15, 2),
('2024-01-21', '08:18:32', '15:18:32', 'QWE901BCDE', 9, 6),
('2024-01-21', '12:39:56', '14:39:56', 'FGH456TYUI', 5, 5),
('2024-01-21', '06:09:55', '09:39:55', 'JKL012LMNO', 2, 10),
('2024-01-21', '09:44:13', '12:14:13', 'RTY890QRST', 15, 5),
('2024-01-21', '07:34:35', '14:04:35', 'UIO234GFDS', 4, 9),
('2024-01-21', '06:11:24', '08:41:24', 'UIO234GFDS', 5, 4),
('2024-01-24', '09:44:13', '16:44:13', 'VBN567JKLM', 3, 5),
('2024-01-24', '11:17:44', '14:47:44', 'CVB567LKJH', 8, 9),
('2024-01-24', '12:58:46', '14:58:46', 'WXY678MNOP', 11, 4),
('2024-01-24', '08:08:31', '15:38:31', 'QWE012CVBN', 2, 10),
('2024-01-24', '10:44:35', '15:14:35', 'BNM456UIOP', 10, 7),
('2024-01-24', '13:58:45', '15:58:45', 'BVC345UIOA', 12, 6),
